,Id,source,latitude,longitude,region,country,admin1,localityName,localityQuality,observationDate,reportingDate,status,disease,serotypes,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,humansGenderDesc,humansAge,humansAffected,humansDeaths,observationdate_value,count
74916,221712,OIE,51.968,4.756,Europe,Netherlands,Zuid-holland,Stolwijk,Exact,21/12/2016,28/12/2016,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, chicken",6594.0,39.0,39.0,6555.0,0.0,,,,,2016.9726,2046
38185,227536,OIE,35.591544,126.755711,Asia,Republic of Korea,Chollabuk-do,Jeongeup-si,Exact,21/12/2016,4/5/17,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, chicken",23038.0,38.0,38.0,23000.0,,,,,,2016.9726,2047
37965,227546,OIE,35.854313,126.99063600000001,Asia,Republic of Korea,Chollabuk-do,Gimje-si,Exact,22/12/2016,4/5/17,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, chicken",20400.0,400.0,400.0,20000.0,,,,,,2016.97534,2048
40263,221467,OIE,20.420079,72.83373900000001,Asia,India,Daman and Diu,Daman,Centroid Admin2,22/12/2016,8/1/17,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",510.0,5.0,5.0,505.0,,,0.0,,,2016.97534,2049
38058,227551,OIE,36.989052,127.151316,Asia,Republic of Korea,Kyonggi-do,Anseong-si,Exact,23/12/2016,4/5/17,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, chicken",29965.0,150.0,150.0,29815.0,,,,,,2016.97808,2050
74913,221713,OIE,52.12,4.539,Europe,Netherlands,Zuid-holland,Zoeterwoude,Exact,24/12/2016,28/12/2016,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, chicken",27000.0,869.0,869.0,26131.0,0.0,,,,,2016.98082,2051
38133,227567,OIE,35.431311,129.048211,Asia,Republic of Korea,Kyongsangnam-do,Yangsan-si,Exact,24/12/2016,4/5/17,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, chicken",54071.0,71.0,71.0,54000.0,,,,,,2016.98082,2052
75659,221043,OIE,48.190734,17.024449,Europe,Slovakia,Bratislava,Bratislava,Exact,24/12/2016,29/12/2016,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, chicken",65.0,65.0,64.0,1.0,0.0,,0.0,,,2016.98082,2053
38183,227565,OIE,36.992852,127.29111200000001,Asia,Republic of Korea,Kyonggi-do,Anseong-si,Exact,24/12/2016,4/5/17,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, chicken",8520.0,40.0,40.0,8480.0,,,,,,2016.98082,2054
38241,227571,OIE,36.991976,126.87521399999999,Asia,Republic of Korea,Kyonggi-do,Pyeongtaek-si,Exact,25/12/2016,4/5/17,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, chicken",27805.0,25.0,25.0,27780.0,0.0,,,,,2016.98356,2055
73707,221854,OIE,51.76,9.95,Europe,Germany,Niedersachsen,Northeim,Exact,25/12/2016,27/12/2016,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, chicken",26.0,10.0,10.0,16.0,0.0,,,,,2016.98356,2056
38059,227575,OIE,37.269942,127.56509299999999,Asia,Republic of Korea,Kyonggi-do,Yeoju-si,Exact,26/12/2016,4/5/17,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, chicken",56150.0,150.0,150.0,56000.0,,,,,,2016.9863,2057
40854,221416,OIE,33.061622,130.541079,Asia,Japan,Kumamoto,Nankan-machi,Centroid Locality,26/12/2016,10/1/17,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, chicken",91856.0,50.0,50.0,91806.0,0.0,,,,,2016.9863,2058
38395,227576,OIE,37.556552,126.68332099999999,Asia,Republic of Korea,Kyonggi-do,Seo-gu,Exact,26/12/2016,4/5/17,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, chicken",30.0,5.0,5.0,25.0,,,,,,2016.9863,2059
40423,221928,OIE,46.241202,-0.414279,Europe,France,Poitou-Charentes,FORS,Exact,26/12/2016,9/1/17,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, chicken",21.0,6.0,5.0,16.0,0.0,,,,,2016.9863,2060
40402,221700,OIE,25.0641,121.4466,Asia,Taiwan (Province of China),Taiwan Sheng,Taishan District,Unknown,27/12/2016,9/1/17,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, chicken",388.0,52.0,52.0,336.0,0.0,,,,,2016.98904,2061
50847,227007,OIE,35.673868,126.81098300000001,Asia,Republic of Korea,Chollabuk-do,Jeongeup-si,Exact,27/12/2016,14/04/2017,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, chicken",15719.0,19.0,19.0,15700.0,0.0,,,,,2016.98904,2062
50804,227008,OIE,37.016137,127.166551,Asia,Republic of Korea,Kyonggi-do,Ansung-si,Exact,28/12/2016,14/04/2017,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, chicken",42039.0,505.0,505.0,41534.0,0.0,,,,,2016.99178,2063
74917,221526,FAO Field Officer,-7.300657000000001,108.162,Asia,Indonesia,Jawa Barat,BUNGURSARI,Exact,28/12/2016,28/12/2016,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,,25.0,,,,,,,2016.99178,2064
50840,227012,OIE,36.999478,127.293885,Asia,Republic of Korea,Kyonggi-do,Ansung-si,Exact,30/12/2016,14/04/2017,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, chicken",39300.0,24.0,24.0,39276.0,0.0,,,,,2016.99726,2065
50820,227015,OIE,36.88054,127.23820900000001,Asia,Republic of Korea,Kyonggi-do,Cheonan-si,Exact,31/12/2016,14/04/2017,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, chicken",212395.0,144.0,144.0,212251.0,0.0,,,,,2017.0,2066
50795,227017,OIE,37.172413,126.855175,Asia,Republic of Korea,Kyonggi-do,Hwaseong-si,Exact,1/1/17,14/04/2017,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, chicken",285082.0,50318.0,50318.0,234764.0,0.0,,,,,2017.00274,2067
40394,221701,OIE,23.661431,120.504471,Asia,Taiwan (Province of China),Taiwan Sheng,Dounan Township,Unknown,1/1/17,9/1/17,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, chicken",24121.0,258.0,258.0,23863.0,0.0,,,,,2017.00274,2068
50821,227016,OIE,37.044239000000005,127.21363899999999,Asia,Republic of Korea,Kyonggi-do,Ansung-si,Exact,1/1/17,14/04/2017,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, chicken",376570.0,130.0,130.0,376440.0,0.0,,,,,2017.00274,2069
50857,227019,OIE,36.789874,126.40971100000002,Asia,Republic of Korea,Chungchongnam-do,Seosan-si,Exact,2/1/17,14/04/2017,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, chicken",20.0,10.0,10.0,10.0,0.0,,,,,2017.00548,2070
